2026-04-29 00:01:28.398 [AsyncResolver-bootstrap-executor-%d] INFO  c.n.d.s.r.aws.ConfigClusterResolver [traceId=] - Resolving eureka endpoints via configuration
2026-04-29 00:07:13.122 [HikariPool-1:housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool [traceId=] - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=1m52s874ms599µs400ns).
2026-04-29 00:32:06.347 [HikariPool-1:housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool [traceId=] - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=24m53s224ms642µs700ns).
2026-04-29 00:32:26.486 [DiscoveryClient-HeartbeatExecutor-%d] INFO  c.netflix.discovery.DiscoveryClient [traceId=] - DiscoveryClient_ORDER-SERVICE/Madumita.mshome.net:order-service:8082 - Re-registering apps/ORDER-SERVICE
2026-04-29 00:32:26.488 [DiscoveryClient-HeartbeatExecutor-%d] INFO  c.netflix.discovery.DiscoveryClient [traceId=] - DiscoveryClient_ORDER-SERVICE/Madumita.mshome.net:order-service:8082: registering service...
2026-04-29 00:32:26.523 [DiscoveryClient-HeartbeatExecutor-%d] INFO  c.netflix.discovery.DiscoveryClient [traceId=] - DiscoveryClient_ORDER-SERVICE/Madumita.mshome.net:order-service:8082 - registration status: 204
2026-04-29 00:33:04.984 [AsyncResolver-bootstrap-executor-%d] INFO  c.n.d.s.r.aws.ConfigClusterResolver [traceId=] - Resolving eureka endpoints via configuration
2026-04-29 00:38:05.000 [AsyncResolver-bootstrap-executor-%d] INFO  c.n.d.s.r.aws.ConfigClusterResolver [traceId=] - Resolving eureka endpoints via configuration
2026-04-29 00:43:05.004 [AsyncResolver-bootstrap-executor-%d] INFO  c.n.d.s.r.aws.ConfigClusterResolver [traceId=] - Resolving eureka endpoints via configuration
2026-04-29 00:48:05.008 [AsyncResolver-bootstrap-executor-%d] INFO  c.n.d.s.r.aws.ConfigClusterResolver [traceId=] - Resolving eureka endpoints via configuration
2026-04-29 00:53:05.022 [AsyncResolver-bootstrap-executor-%d] INFO  c.n.d.s.r.aws.ConfigClusterResolver [traceId=] - Resolving eureka endpoints via configuration
2026-04-29 00:58:05.027 [AsyncResolver-bootstrap-executor-%d] INFO  c.n.d.s.r.aws.ConfigClusterResolver [traceId=] - Resolving eureka endpoints via configuration
2026-04-29 01:00:29.216 [SpringApplicationShutdownHook] INFO  o.s.c.n.e.s.EurekaServiceRegistry [traceId=] - Unregistering application ORDER-SERVICE with eureka with status DOWN
2026-04-29 01:00:29.220 [SpringApplicationShutdownHook] INFO  c.netflix.discovery.DiscoveryClient [traceId=] - Saw local status change event StatusChangeEvent [timestamp=1777404629220, current=DOWN, previous=UP]
2026-04-29 01:00:29.227 [DiscoveryClient-InstanceInfoReplicator-%d] INFO  c.netflix.discovery.DiscoveryClient [traceId=] - DiscoveryClient_ORDER-SERVICE/Madumita.mshome.net:order-service:8082: registering service...
2026-04-29 01:00:29.303 [DiscoveryClient-InstanceInfoReplicator-%d] INFO  c.netflix.discovery.DiscoveryClient [traceId=] - DiscoveryClient_ORDER-SERVICE/Madumita.mshome.net:order-service:8082 - registration status: 204
2026-04-29 01:00:29.877 [SpringApplicationShutdownHook] INFO  o.s.b.w.e.tomcat.GracefulShutdown [traceId=] - Commencing graceful shutdown. Waiting for active requests to complete
2026-04-29 01:00:30.022 [tomcat-shutdown] INFO  o.s.b.w.e.tomcat.GracefulShutdown [traceId=] - Graceful shutdown complete
2026-04-29 01:00:30.249 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean [traceId=] - Closing JPA EntityManagerFactory for persistence unit 'default'
2026-04-29 01:00:30.426 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource [traceId=] - HikariPool-1 - Shutdown initiated...
2026-04-29 01:00:30.493 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource [traceId=] - HikariPool-1 - Shutdown completed.
2026-04-29 01:00:30.506 [SpringApplicationShutdownHook] INFO  c.netflix.discovery.DiscoveryClient [traceId=] - Shutting down DiscoveryClient ...
2026-04-29 01:00:33.521 [SpringApplicationShutdownHook] INFO  c.netflix.discovery.DiscoveryClient [traceId=] - Unregistering ...
2026-04-29 01:00:33.683 [SpringApplicationShutdownHook] INFO  c.netflix.discovery.DiscoveryClient [traceId=] - DiscoveryClient_ORDER-SERVICE/Madumita.mshome.net:order-service:8082 - deregister  status: 200
2026-04-29 01:00:33.685 [SpringApplicationShutdownHook] INFO  c.netflix.discovery.DiscoveryClient [traceId=] - Completed shut down of DiscoveryClient
