2026-04-29 00:01:42.367 [AsyncResolver-bootstrap-executor-%d] INFO  c.n.d.s.r.aws.ConfigClusterResolver [traceId=] - Resolving eureka endpoints via configuration
2026-04-29 00:07:10.571 [HikariPool-1:housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool [traceId=] - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=1m56s820ms331µs800ns).
2026-04-29 00:32:23.286 [DiscoveryClient-HeartbeatExecutor-%d] INFO  c.netflix.discovery.DiscoveryClient [traceId=] - DiscoveryClient_URL-SHORTENER-SERVICE/Madumita.mshome.net:url-shortener-service:8085 - Re-registering apps/URL-SHORTENER-SERVICE
2026-04-29 00:32:23.288 [DiscoveryClient-HeartbeatExecutor-%d] INFO  c.netflix.discovery.DiscoveryClient [traceId=] - DiscoveryClient_URL-SHORTENER-SERVICE/Madumita.mshome.net:url-shortener-service:8085: registering service...
2026-04-29 00:32:23.378 [DiscoveryClient-HeartbeatExecutor-%d] INFO  c.netflix.discovery.DiscoveryClient [traceId=] - DiscoveryClient_URL-SHORTENER-SERVICE/Madumita.mshome.net:url-shortener-service:8085 - registration status: 204
2026-04-29 00:32:29.609 [HikariPool-1:housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool [traceId=] - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=25m19s37ms517µs600ns).
2026-04-29 00:33:18.909 [AsyncResolver-bootstrap-executor-%d] INFO  c.n.d.s.r.aws.ConfigClusterResolver [traceId=] - Resolving eureka endpoints via configuration
2026-04-29 00:38:18.923 [AsyncResolver-bootstrap-executor-%d] INFO  c.n.d.s.r.aws.ConfigClusterResolver [traceId=] - Resolving eureka endpoints via configuration
2026-04-29 00:43:18.929 [AsyncResolver-bootstrap-executor-%d] INFO  c.n.d.s.r.aws.ConfigClusterResolver [traceId=] - Resolving eureka endpoints via configuration
2026-04-29 00:48:18.937 [AsyncResolver-bootstrap-executor-%d] INFO  c.n.d.s.r.aws.ConfigClusterResolver [traceId=] - Resolving eureka endpoints via configuration
2026-04-29 00:53:18.941 [AsyncResolver-bootstrap-executor-%d] INFO  c.n.d.s.r.aws.ConfigClusterResolver [traceId=] - Resolving eureka endpoints via configuration
2026-04-29 00:58:18.945 [AsyncResolver-bootstrap-executor-%d] INFO  c.n.d.s.r.aws.ConfigClusterResolver [traceId=] - Resolving eureka endpoints via configuration
2026-04-29 01:00:29.215 [SpringApplicationShutdownHook] INFO  o.s.c.n.e.s.EurekaServiceRegistry [traceId=] - Unregistering application URL-SHORTENER-SERVICE with eureka with status DOWN
2026-04-29 01:00:29.218 [SpringApplicationShutdownHook] INFO  c.netflix.discovery.DiscoveryClient [traceId=] - Saw local status change event StatusChangeEvent [timestamp=1777404629218, current=DOWN, previous=UP]
2026-04-29 01:00:29.223 [DiscoveryClient-InstanceInfoReplicator-%d] INFO  c.netflix.discovery.DiscoveryClient [traceId=] - DiscoveryClient_URL-SHORTENER-SERVICE/Madumita.mshome.net:url-shortener-service:8085: registering service...
2026-04-29 01:00:29.481 [DiscoveryClient-InstanceInfoReplicator-%d] INFO  c.netflix.discovery.DiscoveryClient [traceId=] - DiscoveryClient_URL-SHORTENER-SERVICE/Madumita.mshome.net:url-shortener-service:8085 - registration status: 204
2026-04-29 01:00:29.905 [SpringApplicationShutdownHook] INFO  o.s.b.w.e.tomcat.GracefulShutdown [traceId=] - Commencing graceful shutdown. Waiting for active requests to complete
2026-04-29 01:00:30.032 [tomcat-shutdown] INFO  o.s.b.w.e.tomcat.GracefulShutdown [traceId=] - Graceful shutdown complete
2026-04-29 01:00:30.625 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean [traceId=] - Closing JPA EntityManagerFactory for persistence unit 'default'
2026-04-29 01:00:30.702 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource [traceId=] - HikariPool-1 - Shutdown initiated...
2026-04-29 01:00:30.743 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource [traceId=] - HikariPool-1 - Shutdown completed.
2026-04-29 01:00:30.751 [SpringApplicationShutdownHook] INFO  c.netflix.discovery.DiscoveryClient [traceId=] - Shutting down DiscoveryClient ...
2026-04-29 01:00:33.771 [SpringApplicationShutdownHook] INFO  c.netflix.discovery.DiscoveryClient [traceId=] - Unregistering ...
2026-04-29 01:00:33.868 [SpringApplicationShutdownHook] INFO  c.netflix.discovery.DiscoveryClient [traceId=] - DiscoveryClient_URL-SHORTENER-SERVICE/Madumita.mshome.net:url-shortener-service:8085 - deregister  status: 200
2026-04-29 01:00:33.868 [SpringApplicationShutdownHook] INFO  c.netflix.discovery.DiscoveryClient [traceId=] - Completed shut down of DiscoveryClient
