2026-04-29 00:02:23.326 [AsyncResolver-bootstrap-executor-%d] INFO  c.n.d.s.r.aws.ConfigClusterResolver [traceId=] - Resolving eureka endpoints via configuration
2026-04-29 00:32:09.088 [HikariPool-1:housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool [traceId=] - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=26m46s734ms220µs700ns).
2026-04-29 00:33:59.777 [AsyncResolver-bootstrap-executor-%d] INFO  c.n.d.s.r.aws.ConfigClusterResolver [traceId=] - Resolving eureka endpoints via configuration
2026-04-29 00:38:59.794 [AsyncResolver-bootstrap-executor-%d] INFO  c.n.d.s.r.aws.ConfigClusterResolver [traceId=] - Resolving eureka endpoints via configuration
2026-04-29 00:43:59.834 [AsyncResolver-bootstrap-executor-%d] INFO  c.n.d.s.r.aws.ConfigClusterResolver [traceId=] - Resolving eureka endpoints via configuration
2026-04-29 00:48:59.850 [AsyncResolver-bootstrap-executor-%d] INFO  c.n.d.s.r.aws.ConfigClusterResolver [traceId=] - Resolving eureka endpoints via configuration
2026-04-29 00:53:59.859 [AsyncResolver-bootstrap-executor-%d] INFO  c.n.d.s.r.aws.ConfigClusterResolver [traceId=] - Resolving eureka endpoints via configuration
2026-04-29 00:58:59.866 [AsyncResolver-bootstrap-executor-%d] INFO  c.n.d.s.r.aws.ConfigClusterResolver [traceId=] - Resolving eureka endpoints via configuration
2026-04-29 01:00:29.273 [SpringApplicationShutdownHook] INFO  o.s.c.n.e.s.EurekaServiceRegistry [traceId=] - Unregistering application USER-SERVICE with eureka with status DOWN
2026-04-29 01:00:29.279 [SpringApplicationShutdownHook] INFO  c.netflix.discovery.DiscoveryClient [traceId=] - Saw local status change event StatusChangeEvent [timestamp=1777404629279, current=DOWN, previous=UP]
2026-04-29 01:00:29.285 [DiscoveryClient-InstanceInfoReplicator-%d] INFO  c.netflix.discovery.DiscoveryClient [traceId=] - DiscoveryClient_USER-SERVICE/Madumita.mshome.net:user-service:8083: registering service...
2026-04-29 01:00:29.486 [DiscoveryClient-InstanceInfoReplicator-%d] INFO  c.netflix.discovery.DiscoveryClient [traceId=] - DiscoveryClient_USER-SERVICE/Madumita.mshome.net:user-service:8083 - registration status: 204
2026-04-29 01:00:29.942 [SpringApplicationShutdownHook] INFO  o.s.b.w.e.tomcat.GracefulShutdown [traceId=] - Commencing graceful shutdown. Waiting for active requests to complete
2026-04-29 01:00:30.058 [tomcat-shutdown] INFO  o.s.b.w.e.tomcat.GracefulShutdown [traceId=] - Graceful shutdown complete
2026-04-29 01:00:30.388 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean [traceId=] - Closing JPA EntityManagerFactory for persistence unit 'default'
2026-04-29 01:00:30.550 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource [traceId=] - HikariPool-1 - Shutdown initiated...
2026-04-29 01:00:30.621 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource [traceId=] - HikariPool-1 - Shutdown completed.
2026-04-29 01:00:30.632 [SpringApplicationShutdownHook] INFO  c.netflix.discovery.DiscoveryClient [traceId=] - Shutting down DiscoveryClient ...
2026-04-29 01:00:33.647 [SpringApplicationShutdownHook] INFO  c.netflix.discovery.DiscoveryClient [traceId=] - Unregistering ...
2026-04-29 01:00:33.793 [SpringApplicationShutdownHook] INFO  c.netflix.discovery.DiscoveryClient [traceId=] - DiscoveryClient_USER-SERVICE/Madumita.mshome.net:user-service:8083 - deregister  status: 200
2026-04-29 01:00:33.797 [SpringApplicationShutdownHook] INFO  c.netflix.discovery.DiscoveryClient [traceId=] - Completed shut down of DiscoveryClient
